"","s.Control","s.Control Depression","s.PMS","s.PMS Depression","s.RRMS","s.RRMS Depression","index","stat","p.value"
"3747d1a00e44c84a46c93434292bf8f7",0,0,0,0,1,0,5,0.0616626415978207,0.565
"256ec29101344980d918509659bf0f6a",1,0,1,0,0,0,8,0.122039407657021,0.394
"4f161481f14b7c5cef254772b3a4d8c5",0,0,0,0,1,0,5,0.0616626415978207,0.545
"ee746a4c6f9878a2268e021010976ec1",0,1,1,0,0,0,12,0.154626329077684,0.128
"38df621317673f034cf7bbbe7d33c726",0,0,1,0,0,0,3,0.188747358174863,0.022
"82883d323ac7b67fa727bea0ddb906b2",1,0,0,0,0,0,1,0.0506369683541833,1
"9be99aff5f8a0cd277fa4aba18d5969c",1,0,0,0,0,0,1,0.0506369683541833,1
"c05b243244c6eb7ed56d6485c7226ccf",0,0,0,0,0,1,6,0.094746733567654,0.671
"516926e9ce299b8b7589451e91c401b0",1,1,0,1,1,1,60,0.138942503594182,0.809
"4d33c3e786d43371ad1d31da95a70ad3",0,0,0,0,1,1,21,0.111282976814931,0.357
"228e22b7809374330a5814c98014a591",1,1,0,0,1,1,47,0.121267812518166,0.891
"6c6ab3eb9f346a1620cf5893030915f4",1,0,0,0,0,1,11,0.0666666666666667,0.68
"6013b91aa526b5681ef66ae8bb085330",0,0,0,0,1,0,5,0.0616626415978207,0.56
"ac1bc3b41faf44273a5204b7e8ce72fa",1,0,1,0,0,0,8,0.0922531208028885,0.654
"fd00855290f53f58f72cf40f4e286bc7",0,0,1,0,0,0,3,0.106593041603212,0.327
"9cbd2226d2d94a5feefacf339939ff1d",1,0,0,0,0,0,1,0.137722646391588,0.44
"c85403982dd87a82f86cbe9f2e54a099",0,1,1,1,0,0,32,0.201188741298972,0.8
"fd331902cf67bb94b8c376c50d0ce2f0",0,0,0,0,1,1,21,0.0963738849304853,0.43
"d93ad568abc0e5db6f747fe68f60d10a",1,0,0,0,1,0,10,0.0553424532912486,1
"c4a990e15e612fdb6968d5d4d0c51a48",1,0,1,0,0,0,8,0.122039407657021,0.46
"ea4129ccc4dce72de6259e1ce71dd83e",NA,NA,NA,NA,NA,NA,NA,NA,NA
"627a35067b3dfe48bbf9e8be08bf42a0",1,0,0,0,0,0,1,0.0506369683541833,1
"6b3e372fbbf278359903622005052457",0,0,0,0,1,0,5,0.0555662679104602,0.885
"89fe412248ac3e6091bc25df4fda336c",1,0,0,0,0,0,1,0.0506369683541833,1
"b83ce14a3f56799b4c005d36bb86ebae",0,1,1,0,0,1,34,0.166519135205325,0.2
"a3c8dab28263741c99943e84ea6157af",1,0,1,0,0,0,8,0.0922531208028885,0.633
"8f09367173ae8e48b3334bd3f6fd22f2",0,0,1,0,0,0,3,0.107192399091062,0.354
"f44d5f75596d7dc24c5d0521a10999e5",0,0,1,0,0,0,3,0.139217284144097,0.239
"9bce31553215c5e10db02533b4a82088",1,0,0,0,0,0,1,0.0506369683541833,1
"8ae12520ddb4f20778998628523eb967",0,0,0,1,0,0,4,0.151069844432735,0.218
"3dcf378f483907c46e5142e064598cb6",1,1,1,1,1,1,63,0.156537803785547,NA
"b067780f61ae726c9ec870dd918e5169",1,0,0,0,0,0,1,0.0506369683541833,1
"1b0098a811a2e23fdecfb29cb4ce030a",0,0,1,0,0,0,3,0.130894427177215,0.278
"bfaee86c94849fca2c3f7138fd5565bd",1,0,0,0,1,0,10,0.0782660480194832,0.916
"289ba109e28b5ec2c41959f76101b8f7",0,0,0,1,0,0,4,0.151465813165491,0.174
"5deb28a5f59ae9635841d4e157253298",1,0,0,0,1,0,10,0.0782660480194832,0.945
"2dbf27d672490c5edfe7f7921b5ec639",1,0,1,1,1,1,61,0.120824418666035,0.98
"26a67354ba1b3b51e1dc6c83965a9bae",0,0,0,0,1,0,5,0.0616626415978207,0.546
"20869cea73b1c19f270362dd9dcb41b4",0,0,1,0,0,0,3,0.0991714046446136,0.416
"68bab0142ee1c9f731dfcbbf2a7fe1c8",1,0,0,0,0,0,1,0.0877058019307029,0.559
"341f88a0a841055f21f6ba63b5eb5fc0",1,0,0,0,0,0,1,0.0506369683541833,1
"48df45fd6efda3514781241392db7435",1,0,0,0,1,0,10,0.0958559409159499,0.861
"83e9a64ed2f4fe24f52ffb1ef90e4dfa",0,0,0,0,1,0,5,0.0616626415978207,0.558
"27c779892ec8b9fb15fbf322f2580f5a",0,0,0,1,0,0,4,0.121663970436779,0.577
"6f3096e2a16970926fe68a82c4c22428",0,0,0,0,1,0,5,0.0616626415978207,0.538
"3bf9412638c8bf809f6331ed7226df34",1,0,0,0,0,0,1,0.0877058019307029,0.611
"620706a9f17b1991494310e7b68a21a5",0,0,0,0,0,1,6,0.200961437137984,0.074
"48fe450158dd56cb9e232a92ed59c68c",0,1,1,0,1,1,54,0.337536180742666,0.075
"3ae8f58461f3c62f742f6cd025ef82b8",0,0,0,0,0,1,6,0.129099444873581,0.142
"d93e4d059476678bbe0f48d0cd04daf7",1,0,0,0,1,0,10,0.103536249579696,0.79
"087666690375b777048b392f8b3086a5",1,1,0,0,1,1,47,0.182818106031783,0.47
"642f08047adb6831998d01d090f87883",0,0,0,0,0,1,6,0.179523777699176,0.328
"89a23bdf52b8a65baaf6bd111ba8909e",1,1,1,0,1,1,59,0.337044407399362,0.248
"d02160f812864551e71b37df4008fea1",0,1,1,1,0,1,53,0.226226072893947,0.114
"949acad3e12258f57ebb1c5995e062e3",0,0,1,0,1,0,17,0.103097564397935,0.61
"3341fc6f490b4d71803a18e5eb5f5a57",0,0,1,0,0,0,3,0.0921640076205593,0.452
"fe828f1963a706d6a2cc3091ef2cc00b",0,0,1,0,0,0,3,0.147878688540674,0.266
"53c693754889dacc56801a910ef55c09",1,0,0,0,1,1,31,0.0990841652801125,0.884
"97fd87f08c1e3fac492cb335724f3339",0,0,0,0,0,1,6,0.129099444873581,0.132
"ae8145d86b3f0ad7368532c9fd61359d",1,1,1,0,1,1,59,0.202639586291443,0.79
"eb133fc52e151e45ef64e224307285bf",1,0,0,0,0,0,1,0.101273936708367,0.466
"81e5f692be6981d14bd447632cd41f6c",1,0,0,0,1,0,10,0.0782660480194832,0.977
"a4493a279d8b88f2ab947dd0087b28da",0,0,0,0,0,1,6,0.115160230078494,0.289
"fa462ab7521436561429be55f348fc7f",0,0,0,0,0,1,6,0.120617928203068,0.266
"90ecafac26f7db7c7fd070416194d6a5",0,0,0,0,0,1,6,0.152643543021894,0.217
"b503173f877a716093c17377fefa2fdd",0,0,0,1,0,0,4,0.167450474191055,0.236
"68521928c3aa60a18fb43db2b80cd0ee",0,1,1,0,0,1,34,0.132055905968845,0.939
"e1f4c9a66737d1749bd913adb9a8e53a",0,0,0,0,1,0,5,0.0616626415978207,0.526
"ad7ebc221fa3fff5e7e7ec45b8de753b",0,1,1,0,0,1,34,0.268525053003448,0.077
"1ac890ece6bbcb86300e0071326b12fb",0,1,0,0,0,1,15,0.116748494165141,0.991
"55c38004d726eaeb81386c9b9a7ae531",1,0,0,0,1,0,10,0.0553424532912486,1
"a7fafde4af9801aaf3af75579289d267",1,0,0,0,0,0,1,0.0506369683541833,1
"834593440d66b82ff55ec9f7fea24c52",0,0,1,0,1,0,17,0.190736318015664,0.365
"2092ebcb713270ad3cf57f5083fde6f6",0,0,0,0,0,1,6,0.129099444873581,0.15
"413c3513fb6dd5379d34adbf4a6dc58f",1,0,0,0,0,0,1,0.0506369683541833,1
"dd7e67d13a5d162af6bea81e8fbb0847",1,1,0,1,1,1,60,0.19974243389185,0.453
"0e74e5048da8c9f4e9d2e2584048a565",1,1,1,0,1,0,43,0.192875692277895,0.621
"8a697db18403f14e0719477786898374",0,0,0,0,0,1,6,0.170904602790171,0.056
"4ea8cb77ad85e988574f3de91c621417",0,1,0,1,0,0,13,0.176776695296637,0.04
"5f1b03e0b86507cc40321072e02991a2",1,0,0,0,0,0,1,0.0703254639710383,0.81
"9a9e034cf561fa66b52f1644e4aecc91",1,0,1,0,0,0,8,0.0755361607616605,0.96
"10ac29bd0d8a8ceb4c9423c5cb57204a",0,0,0,0,0,1,6,0.112663200187327,0.386
"9740e9fdbe4bab112595fa6c506ad992",1,1,1,1,1,1,63,0.25789743151273,NA
"70824a7067e7b1986ace2bf67819aacd",1,0,0,0,1,0,10,0.123749487600839,0.616
"fa95b3627c9f84b251f6012be6ec6de9",1,0,1,1,1,1,61,0.170871531543352,0.835
"f48eaf134bd361cb1cd6daba7a1e7512",1,0,0,0,0,0,1,0.0506369683541833,1
"1e3e3e93cf5983404abb37fec0e99a03",0,0,0,0,1,0,5,0.0616626415978207,0.554
"a297b89a925b7beee945132be6793925",0,1,0,0,0,1,15,0.142544666251622,0.17
"528cf82172fb57d44e89bbc729d58555",1,1,0,1,0,1,46,0.188416544986106,0.251
"d574bbe31bae945fd1fbecd302474999",0,0,1,0,0,0,3,0.0804279533760341,0.512
"ff994b6ccb81281205b5259ff5a3d015",1,0,0,0,0,0,1,0.0716114874039433,0.712
"d721b4be82936c875baa6b2b40b59ca0",0,1,1,1,1,0,52,0.155372712686306,0.279
"e935ca4e373c83f6ca5901258360d549",1,0,0,0,1,0,10,0.0553424532912486,1
"52e577acce851a9cf183b534cc914acd",1,0,0,0,0,0,1,0.0506369683541833,1
"93b4ece3d6396376b135c1f6ccf64b79",1,0,1,0,1,0,27,0.0977230544013436,0.977
"b6e3da37c3fb132fbecb9f62829b0754",1,1,1,0,0,1,44,0.245427141514888,0.166
"0ae2ec5e05c793a6918dbd9accbb0264",0,0,0,1,1,0,19,0.176996897480872,0.293
"b3b16d7c80e40b4329bee410fe5e0c0a",0,0,0,0,0,1,6,0.129099444873581,0.14
"6e99490a38cab479ce04656a4c933ec0",1,0,0,0,1,0,10,0.0553424532912486,1
"a851d6ccd0dd4fbc57373dbdd556aa53",1,1,0,0,0,1,25,0.101534616513362,0.53
"0c00bd7d0a997be4a0d74d2e2640a11e",0,0,1,0,0,1,18,0.119522860933439,0.213
"b0ac5967c6e1c8669be7dba63a4811a6",1,0,1,0,1,0,27,0.110807528272968,0.932
"46f62eb1a46d794f7cb70212eb5d363d",1,0,0,0,0,0,1,0.0506369683541833,1
"16ac84e3e245bbfd8dc037f34b411ed8",1,0,0,0,0,0,1,0.0506369683541833,1
"a282798ff266054566a0b00b8879f069",1,0,1,0,1,1,50,0.218209991116874,0.52
"cdf0762d5aba9f1b8e8d70578d51fa51",0,0,0,0,0,1,6,0.129099444873581,0.142
"420168f9c11bd57b8b03ea659b596eca",0,0,1,0,0,0,3,0.0946325324929894,0.486
"4e633e620b6568612a7a72c1f050f29a",0,1,0,0,0,0,2,0.146495434579709,0.153
"56e9944496961f2e7e1bd8807914d5ff",0,0,0,0,1,1,21,0.100656036268031,0.857
"5a7ad8d4597849a52b2bf18ac871d1a8",1,0,1,0,1,1,50,0.100440392190365,0.998
"a0a2bf55be121cb1d0b8057e6f7c93db",0,0,1,0,0,0,3,0.186163374788635,0.54
"a17f6899ceefbb1a0e0e326eaf6500a3",1,0,0,0,0,0,1,0.11322770341446,0.44
"59cc948039f120e61fc12b2a51ae327c",0,1,1,1,0,0,32,0.276843229922269,0.143
"20a31cacc4c572924e9de146f804ee92",0,1,1,1,1,1,62,0.285693243427043,0.096
"e75f13c937d3a86663b767c000fa8201",1,0,0,0,1,0,10,0.0677803858386852,0.993
"50cc4054bb6f1e3eabf2e18883d84925",0,0,0,1,0,1,20,0.196540121505241,0.027
"bfa34beed32ba71739902beda134f453",0,1,1,1,1,1,62,0.397182377632111,0.038
"283e96d06f8d444817ca74e75ec6334c",1,0,0,0,1,0,10,0.0782660480194832,0.927
"c678fe8367dc0c7979f84af104709be9",0,0,0,0,1,0,5,0.0616626415978207,0.536
"6529f9e2b6de004f778a46eb4152553f",1,1,1,1,1,1,63,0.395423056020012,NA
"fb894a26d042d166b5aafd940d0e5cb1",0,0,0,0,1,0,5,0.0998397973566873,0.679
"c0ff865c8d3f94b380702b62555e0637",0,0,1,0,0,0,3,0.111803398874989,0.254
"a40ebc968ac723da1751f9cdfc8202f9",1,0,0,0,0,1,11,0.117441502665299,0.599
"78f5f3dd81f2006d467833a93bc2670b",1,0,0,0,0,0,1,0.0506369683541833,1
"19dfadb68ac573957b07e647bd921961",1,0,0,0,0,0,1,0.0506369683541833,1
"4c9d0ff26aabffcaaa81ad495fda5b96",0,0,0,0,1,0,5,0.0616626415978207,0.542
"cb32ec91424e0aaba0dcc914b8d0ec4d",0,0,0,1,0,0,4,0.227885945319171,0.064
"37f013f795d2a56c8ed852524c76cc63",0,0,1,0,0,0,3,0.0749164641167879,0.518
"6a5dff6d2d0ec22bb5893efdc027eda6",0,0,1,0,0,0,3,0.0995685191573433,0.411
"de80db7b527b61a8e04b3d3cb407d9f9",0,0,0,0,1,0,5,0.0616626415978207,0.555
"a6c34806c12e8719c6a230a245320ffd",0,0,0,0,0,1,6,0.159895238999845,0.105
"be807f5da9c4d0ba6e43f8b18e37093b",1,0,0,0,1,0,10,0.0677803858386852,0.985
"3b923b302c9c1af708f7c8feb653cdec",0,0,0,1,0,0,4,0.173253305950677,0.036
"c5f3f2c2df993aa6d42e7a77918935df",1,1,1,1,1,1,63,0.892075837517929,NA
"041026cfd3ce3feca6052489af81aefa",0,0,0,0,1,0,5,0.0616626415978207,0.558
"37450af35cbe948960596e76ee53d422",0,0,1,0,0,0,3,0.111803398874989,0.236
"1f799a4e65407b5026343ae0dffefc98",1,0,0,0,1,0,10,0.0782660480194832,0.941
"64c353139ae74a167a8ec7e21f5d3a57",0,0,1,1,1,1,56,0.126911532938393,0.793
"3de3b1782d271730e13b73358f554278",0,1,0,1,0,0,13,0.4438222782085,0.004
"9873ef2d81c156bee141fc2c73a545cf",1,0,0,0,0,0,1,0.0506369683541833,1
"a79f5a2f277d5224cb510cbcf31e76dd",1,0,0,0,0,0,1,0.0716114874039433,0.714
"a1d7a5081933de8333030b0f58d005c8",0,1,1,1,1,1,62,0.275474794785781,0.188
"ba030dce13ddc6028d92d363245b3061",1,0,1,0,1,1,50,0.177555206057109,0.632
"64c2b64c19934ba2360fe284744fd1ad",1,1,1,1,1,1,63,0.556073918677939,NA
"d3bad26efe28496263e6d9d06f51f961",0,0,1,1,0,0,16,0.163080360594451,0.158
"eccca7b198b45833b2c66f85c8609c31",1,1,1,1,1,0,57,0.246283467477202,0.477
